Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
111,1.484070,164133,Нет улучшений на последних двух итерациях,857
20,1.755605,8810220,Достигнуто максимальное число поколений,1000
57,1.208999,62729,Нет улучшений на последних двух итерациях,712
102,0.995548,1163330,Нет улучшений на последних двух итерациях,562
39,0.929186,583328,Нет улучшений на последних двух итерациях,532
93,0.905823,145586,Нет улучшений на последних двух итерациях,571
84,0.917974,1321846,Нет улучшений на последних двух итерациях,534
21,0.467658,0,Найдено точное решение,278
13,0.872154,362572,Нет улучшений на последних двух итерациях,510
129,1.289846,11151,Нет улучшений на последних двух итерациях,718
30,1.288631,2105928,Нет улучшений на последних двух итерациях,715
66,1.229131,156163,Нет улучшений на последних двух итерациях,733
76,1.269098,1534363,Нет улучшений на последних двух итерациях,734
121,1.347080,181719,Нет улучшений на последних двух итерациях,790
112,1.050087,1624825,Нет улучшений на последних двух итерациях,613
4,1.520745,670578,Нет улучшений на последних двух итерациях,880
40,0.942280,1852390,Нет улучшений на последних двух итерациях,514
94,1.022759,1002404,Нет улучшений на последних двух итерациях,566
49,1.735494,343045,Нет улучшений на последних двух итерациях,967
22,1.071632,488788,Нет улучшений на последних двух итерациях,562
85,1.252216,3670352,Нет улучшений на последних двух итерациях,668
14,1.174762,1153541,Нет улучшений на последних двух итерациях,621
130,1.210965,2588477,Нет улучшений на последних двух итерациях,645
58,1.761329,4860059,Достигнуто максимальное число поколений,1000
31,1.305631,188874,Нет улучшений на последних двух итерациях,727
122,1.079908,770798,Нет улучшений на последних двух итерациях,571
67,1.274044,1611244,Нет улучшений на последних двух итерациях,696
103,1.756144,353301,Достигнуто максимальное число поколений,1000
41,1.192977,1705614,Нет улучшений на последних двух итерациях,661
77,1.680037,68992,Нет улучшений на последних двух итерациях,905
50,1.161092,2056991,Нет улучшений на последних двух итерациях,650
131,0.873758,709731,Нет улучшений на последних двух итерациях,500
113,1.775064,1532811,Достигнуто максимальное число поколений,1000
15,1.124387,382257,Нет улучшений на последних двух итерациях,636
5,1.838509,3063382,Достигнуто максимальное число поколений,1000
23,1.400765,1130830,Нет улучшений на последних двух итерациях,802
86,1.350786,1469889,Нет улучшений на последних двух итерациях,775
123,1.031195,542253,Нет улучшений на последних двух итерациях,561
104,0.994533,839895,Нет улучшений на последних двух итерациях,564
95,1.734870,3539030,Достигнуто максимальное число поколений,1000
32,1.275976,2288546,Нет улучшений на последних двух итерациях,679
59,1.510854,4028254,Нет улучшений на последних двух итерациях,847
78,1.073191,2529174,Нет улучшений на последних двух итерациях,632
42,1.246059,152459,Нет улучшений на последних двух итерациях,739
68,1.768653,1175381,Нет улучшений на последних двух итерациях,967
16,0.993655,701840,Нет улучшений на последних двух итерациях,563
124,0.986794,1533138,Нет улучшений на последних двух итерациях,580
105,1.011194,658156,Нет улучшений на последних двух итерациях,561
24,1.224047,622633,Нет улучшений на последних двух итерациях,669
132,1.487665,798950,Нет улучшений на последних двух итерациях,856
87,1.326808,1389496,Нет улучшений на последних двух итерациях,768
51,1.750511,1149309,Достигнуто максимальное число поколений,1000
96,1.392146,389492,Нет улучшений на последних двух итерациях,773
114,1.737668,3829010,Нет улучшений на последних двух итерациях,966
69,0.886726,515047,Нет улучшений на последних двух итерациях,504
43,0.976155,173659,Нет улучшений на последних двух итерациях,551
6,1.809039,9003493,Достигнуто максимальное число поколений,1000
17,1.016423,1562168,Нет улучшений на последних двух итерациях,556
79,1.298763,1886340,Нет улучшений на последних двух итерациях,695
